Minerio A,Minerio B,Minerio C,Minerio D,Minerio E,Minerio F,Minerio G,Minerio H,Minerio I,Minerio J,Minerio K,Minerio L,Minerio M,Minerio N,Minerio O,Minerio P,Minerio Q,Minerio R,Minerio S,Minerio T,Minerio U,DOMAIN
0.0,0.0,0.0,0.0,3.507711149,0,34.09512835,0.0,6,0,8.766205243,0.0,0.0,7.575345301,0.0,0.0,37.768202,0,0,0.0,1.495332202,3
0.0,0.0,0.0,0.0,3.413268637,0,34.07070475,0.0,6,0,9.179344914,0.0,0.0,7.604809035,0.0,0.0,37.57061362,0,0,0.0,1.718676567,3
0.0,0.0,0.0,0.0,3.316239691,0,34.46713779,0.0,6,0,7.243838804,0.0,0.0,8.563171722,0.0,0.0,38.7795349,0,0,0.0,0.760360802,3
0.0,0.0,0.0,0.0,2.870658058,0,34.73698717,0.0,5,0,8.478117611,0.0,0.0,8.557780174,0.0,0.0,38.20274315,0,0,0.0,1.431815143,3
0.0,0.0,0.0,0.0,2.933426781,0,34.67798762,0.0,5,0,8.239945538,0.0,0.0,8.36079544,0.0,0.0,38.58651511,0,0,0.0,1.386923954,3
0.0,0.0,0.0,0.0,2.25677655,0,35.11904189,0.0,4,0,8.849604428,0.0,0.0,8.078659839,0.0,0.0,39.56069201,0,0,0.0,2.109863717,3
0.0,0.0,0.0,0.174791166,2.537293761,0,34.44950692,0.0,2,0,16.28341145,0.0,0.0,6.254931279,0.0,0.0,31.66496103,0,0,1.109264363,4.779726571,3
0.0,0.0,0.0,0.0,0.965306406,0,35.7200521,0.0,0,0,6.568308521,0.0,0.0,7.926107185,0.0,0.0,45.29269198,0,0,1.208682586,2.318851219,3
0.0,0.0,0.0,0.0,2.561464741,0,35.00427369,0.0,5,0,8.400874849,0.0,0.0,8.872231018,0.0,0.0,38.5646446,0,0,0.0,1.49104476,3
0.0,0.0,0.0,0.0,2.202281852,0,35.22127323,0.0,4,0,8.117068578,0.0,0.0,8.595029712,0.0,0.0,40.02388881,0,0,0.0,1.748924426,3
0.0,0.0,0.0,0.0,2.09841932,0,35.17517081,0.0,3,0,8.850707993,0.0,0.0,8.201812996,0.0,0.0,39.89860854,0,0,0.0,2.215638289,3
0.0,0.0,0.0,0.0,2.942411543,0,34.63602249,0.0,5,0,8.709764547,0.0,0.0,8.492199774,0.0,0.0,37.9285904,0,0,0.0,1.506275252,3
0.0,0.0,0.0,0.0,2.782580499,0,34.73344826,0.0,5,0,8.432401468,0.0,0.0,8.187953788,0.0,0.0,38.88701382,0,0,0.0,1.612956223,3
0.0,0.0,0.0,0.0,2.690700616,0,34.75499878,0.0,5,0,9.460824662,0.0,0.0,8.142844667,0.0,0.0,37.91762238,0,0,0.0,2.020520694,3
0.0,0.0,0.0,0.0,1.80513009,0,35.56947017,0.0,2,0,7.828066785,0.0,0.0,8.557751583,0.0,0.0,41.22680991,0,0,0.290333974,1.92356592,3
0.0,0.0,0.0,0.0,1.775877231,0,35.46502081,0.0,2,0,7.677327412,0.0,0.0,8.327627095,0.0,0.0,41.90052527,0,0,0.203205658,2.029041463,3
0.0,0.0,0.0,0.0,2.957710664,0,34.03811704,0.0,4,0,15.06233533,0.0,0.0,7.005653179,0.0,0.0,32.21556525,0,0,0.0,4.109233657,3
0.0,0.0,0.0,0.0,1.766377924,0,35.58822065,0.0,2,0,7.440638272,0.0,0.0,8.585744221,0.0,0.0,41.71021152,0,0,0.202291162,1.806764356,3
0.0,0.0,0.0,0.0,1.49803538,0,36.22126859,0.0,2,0,6.294310796,0.0,0.0,9.036349269,0.0,0.0,42.58696874,0,0,0.690695709,1.289148749,3
0.0,0.0,0.0,0.0,0.982914959,0,37.88360965,0.144006092,0,0,6.757579531,0.0,0.0,9.042700925,0.0,0.0,40.80265049,0,0,2.75003396,1.053937276,3
0.0,0.0,0.0,0.02045692,2.381722538,0,35.57101792,0.0,3,0,14.74880001,0.0,0.0,7.615230636,0.0,0.0,31.1390463,0,0,1.454043624,3.558586729,3
2.464139347,0.0,9.519221053,0.0,0.0,0,64.04179593,0.0,0,0,2.825827655,0.0,0.0,7.368090775,0.0,0.0,10.74726947,0,0,3.033655769,0.0,2
2.706944573,0.105348808,10.25679258,0.0,0.0,0,64.68973373,0.0,0,0,2.870222776,0.0,0.0,7.276158941,0.0,0.0,9.025501653,0,0,3.069296937,0.0,2
2.65843501,0.043774285,10.10716363,0.0,0.0,0,64.55465789,0.0,0,0,2.791202715,0.0,0.0,7.21537035,0.0,0.0,9.597637216,0,0,3.031758909,0.0,2
2.520623238,0.0,9.678652557,0.0,0.0,0,64.36943627,0.0,0,0,2.616949453,0.0,0.0,7.309401309,0.0,0.0,10.51074287,0,0,2.994194296,0.0,2
2.394735808,0.032518512,9.335779854,0.0,0.0,0,64.06296818,0.0,0,0,2.751476721,0.0,0.0,7.629881237,0.0,0.0,10.72698187,0,0,3.065657816,0.0,2
0.0,0.0,0.0,0.0,5.582922644,0,32.50629153,0.0,10,0,14.18116274,0.0,0.0,6.26947418,0.0,0.0,28.28924604,0,0,0.0,2.281724108,3
0.0,0.0,0.0,0.0,5.63480237,0,32.09258319,0.0,10,0,15.07822539,0.0,0.0,6.032925823,0.0,0.0,27.758258820000002,0,0,0.0,2.734993221,3
